"S No","Name","Author","Circulation Status","Reading Level","Basket Number","Comments"
1076,"Tinkle Digest (Vol.6 No.7)","No…..","Missing",1,"2L","Prize Bnj school ju"
1077,"I Like To Read A Summer Holiday","No…..","Yes",5,"3H",
1078," Aladdin And The Magic Lamp","No…..","Yes",3,"3B","Check basket"
1079,"Famous Moral Stories","Shilp & Deepti","Yes",2,"1E",
1080,"Tinkle Digest (Vol.2 No.5)","No…..","Missing",3,"5H",
1081,"All Things Bright And Beautiful","Stephanie Longfoot","Yes",2,"5W",
1082,"Five Little Monkeys Wash The Car","Eileen Christelow","Yes",1,"5I",
1083,"Norma Jean,Jumping Bean","Joanna Cole","Yes",1,"1N",
1084,"The Underground Tea Party","Carol b.Kaplan","Yes",5,"4M",
1085,"A Silly Snowy Day","Michael Coleman","Yes",4,"3U",
1086,"My Little Pony","Pony Party","Missing",5,"1K",
1087,"Click,Clack,Moo Cows That Type","Doreen Cronin","Yes",5,"3M",
1088,"YouTell Me How To Get To Sesame Street","Eleanor Hudson","Yes",3,"4S",
1089,"Harry And The Lady Next Door","Gene Zion","Yes",5,"5X",
1090,"The Grinch Meets His Max","Antonia D.Bryan","Yes",1,"3T",
1091,"Hop On Pop","Dr.Seuss","Yes",1,"1Y",
1092,"Ord Eats a PIzza","Irene Trimble","Yes",1,"1N",
1093,"Father Bear Comes Home","Else Holmelund Minarik","Yes",3,"2R",
1094,"School Holidays","Leanne Wells","Yes",5,"3I",
1095,"Lulu And The Witch Baby","Jane O'Connor","Yes",3,"5P",
1096,"I Hate  My Bow","Hans Wilhelm","Yes",4,"3R",
1097,"Cone Kon The Scary Ice Cream Giant","Daniel Pinkwater","Yes",4,"3M",
1098,"The Cat In The Hat","Dr.Seuss","Yes",3,"1Q",
1099,"Danny And The Dinosaur","Syd Hoff","Yes",2,"1S",
1100,"Good Morning Miss Gator","Robert Kraus","Yes",2,"1L",
1101,"Mrs.Brice's Mice","Syd Hoff","Yes",4,"3C",
1102,"The Statue Of Liberty","Lucille Recht Penner","Yes",4,"5Z",
1103,"What Is Star ?","Chris Arvetis ","Yes",5,"4P","Check basket"
1104,"What Is Rainbow ?","Chris Arvetis  ","Yes",2,"4L",
1105,"Why Do Birds Fly South ?","Chris Arvetis","Yes",4,"3G",
1106,"Why Is The Grass Green ?","Chris Arvetis","Yes",5,"1P",
1107,"What Is The Moon ?","Chris Arvetis","Yes",3,"1J",
1108,"What Is an Iceberg ?","Chris Arvetis","Yes",3,"1K",
1109,"What Are Seasons ?","Chris Arvetis","Yes",3,"1S",
1110,"Why Do Animals Sleep Through Winter ?","Chris Arvetis","Yes",5,"4X",
1111,"Bonny the Bunny","No…..","Yes",5,"2I",
1112,"A Know-Nothing Birthday","Michele Sobel Spirn","Yes",4,"3T",
1113,"That's My Lunch","Andrew Plant","Yes",5,"4O",
1114,"The Dindsaurs Packed Lunch","Jacqueline Wilson","Yes",5,"2V",
1115,"Frosty Snowman","Annie North Bedford","Yes",3,"2M",
1116,"Number farm","Stephen Holmes","Yes",3,"2V","Damage "
1117,"Little Red Riding Hood","Peter Stevenson","Yes",5,"3C",
1118,"Pinocchio","Peter Stevenson","Yes",3,"4F",
1119,"The Three Little Hood","Steve Smallman","Missing",5,"4L",
1120,"The Three Little Pigs","Steve Smallman","Yes",4,"4E",
1121,"Bambi","No…..","Yes",3,"4V",
1122,"The Elves And The  Shoemaker","Andrew  Rowland","Missing",1,"4W","Asma She went"
1123,"Dinosaur Stories For 5 Year Olds","Karen King","Yes",5,"1W",
1124,"Jack And Beanstalk (level 1)","No…..","Missing",1,"2G",
1125,"Do you Recognise…….","No…..","Yes",5,"3Z",
1126,"Noddy Bumpy-Dog HelpsOut","Eind Lyton","Missing",2,"1W",
1127,"Go Dog Go ","P.D Eastman","Yes",4,"2S",
1128,"One Fish,Two Fish,Red Fish,Blue Fish","Dr.Seuss","Missing",4,"4C",
1129,"Owl At Home","Arnold Lobel","Yes",5,"2Z",
1130,"One Hundred Shoes","Charles Ghigna","Yes",5,"5O","Damaged"
1131,"Runaway Washing","Mark Burgess","Yes",5,"3D",
1132,"Tom Thumb","No…..","Yes",3,"2C",
1133,"Noddy Makes a New Friend","No…..","Yes",3,"2E",
1134,"First Alphabet A B C D …….","No…..","Yes",5,"2X",
1135,"Duckling's Golden Sunrige","No…..","Missing",5,"4X",
1136,"Opposites","Mick Iinkpen","Yes",1,"1H",
1137,"Weather","Mick Inkpen","Yes",4,"4W",
1138,"Fun In The Sun","Bobby Lynn maslen","Yes",2,"1Y",
1139,"Bob At Bat","Ellen Tarlow","Yes",3,"4L",
1140,"Colors","Mick Inkpen","Yes",1,"1I",
1141,"MY Funny Faces","No…..","Yes",1,"3H",
1142,"I Spy Little numbers","jean Marzollo","Yes",3,"1S",
1143,"My First Word Board Book","Angela Wilkes","Missing",5,"1V",
1144,"I Spy Little Book","jean Marzollo","Missing",5,"4H",
1145,"I Spy Little Wheels","jean Marzollo","Yes",2,"5S",
1146,"I Spy Little Animals","jean Marzollo","Yes",3,"5H",
1147,"Madeline  ","Ludwig Bemelmans","Yes",3,"5F",
1148,"Colling Doctor Amelia Bedelia","Herman Parish","Yes",2,"2B",
1149,"Mangu's Top","Kamakshi Balasubramanian","Yes",5,"2R",
1150,"Famous Tales From Panchatantra","Tiny Tot","Yes",3,"5Z",
1151,"Eecha Poocha","Kala Ashikumar","Missing",5,"3C",
1152,"Tales of Durga","Amar Chitra Katha","Yes",3,"2I",
1153,"JAtaka Tales The Magic Chant","Amar Chitra Katha","Yes",3,"5L",
1154,"Mahatma Gandhi (The Early Day)","Amar Chitra Katha","Missing",5,"2S",
1155,"Rama ","Amar Chitra Katha","Yes",3,"5L",
1156,"Captain Pepper's Pets","Sally Grindley","Yes",3,"1I","Check basket"
1157,"Dinosaur Days","Joyce Milton","Yes",2,"4G",
1158,"Hello First Grade","Joanne Ryder","Yes",2,"1T",
1159,"Mr Tick The Techer","Allan Ahlberg","Yes",1,"1V",
1160,"Lost List","Marjorie Weinman Sharmat","Yes",1,"1X",
1161,"Franklin Wants A Pet ","Paulette Bourgeois,Brenda Clark","Yes",1,"3W",
1162,"Snakes","Christopher Nicholas","Yes",1,"1J",
1163,"The Great Treasure Adventure","Bendon Bear","Yes",4,"1O","Damage "
1164,"Vikas Treasure Of Stories","Dr.S.D. Mulgaonkar","Yes",4,"3L",
1165,"The Ramayana ","Pt .Shyamsunder Shastri","Yes",5,"2L",
1166,"Aunt Eater Loves a Mystery","Doug Cushman","Yes",3,"3U",
1167,"Young Hanuman","Girish Karnad","Yes",4,"3S",
1168,"The Crows And The Serpent","Naseeruddin Shah","Yes",4,"1N",
1169,"Birth Of Krishna","Girish Karnad","Yes",4,"1K",
1170,"The Little People's Guide To The Big World","Parent/Child Edition","Yes",2,"2B",
1171,"Arthur And The Race To Read","Stephen Krensky","Missing",5,"5H",
1172,"The Blue Jackal","Naseeruddin Shah","Yes",5,"2O",
1173,"Hanuman The Mighty","Girish Karnad","Yes",4,"3K",
1174,"The Little Bear Treasury","Else Holmelund Minarik","Yes",5,"2Q",
1175,"Madeline ","Ludwig Bemelmans","Yes",4,"2I",
1176,"Madeline And The Bed Hat","Ludwig Bemelmans","Yes",1,"3U",
1177,"Teach us Amelia Bedelia","Peggy Parish","Yes",2,"1R",
1178,"Magic School And The Missing Tooth","Jeanett Lane","Missing",2,"1G",
1179,"Three Little Pig","Walt Disney's","Yes",2,"2P",
1180,"Lion King 1 1/2","No…..","Yes",2,"4M","Check basket"
1181,"Cookie's Week","Cindy Ward","Yes",4,"1D",
1182," I'm So Sleepy","Radhika Chadha","Yes",2,"2P",
1183,"Tons Of Buttons","Tanya Luther Agarwal","Yes",5,"5K",
1184,"Biggest Valentine Ever","Steven Kroll","Yes",2,"1Z",
1185,"Forget Their Manners","Stan & Jan Berenstain","Yes",1,"4I",
1186,"Treasure Hunt","No…..","Yes",3,"1Q","Check basket"
1187,"Rapunzel","No…..","Yes",4,"4L",
1188,"Robin Hood","Rose Wilson,Bob Williams","Missing",2,"1E",
1189,"Pets (why do Puppies Chew Slippers)","No…..","Yes",4,"5M",
1190,"Disney Animals CD Story Book","No…..","Yes",5,"4C",
1191,"Disney Animals CD Story Book","No…..","Yes",3,"5H",
1192,"Teedy Tales","Anne Mckie","Yes",5,"5A",
1193,"Animal Homes And Habits","No…..","Yes",5,"5B",
1194,"Dazzle The Dinosaur","Marcus Pfister","Yes",1,"2F",
1195,"Pride Land Trouble","No…..","Missing",3,"4Z",
1196,"Three Little Pigs","Jean Hirashima","Missing",5,"4S",
1197,"Hansel And Greatl","Claire Pound","Yes",3,"1Z",
1198,"Dick Whittington","Martin Aitchison","Yes",2,"2X",
1199,"I Can't Take a Bath","Irene Smalls","Yes",4,"2J",
1200,"Biscuit","Alyssa Satin Capucilli","Yes",2,"5D",
1201,"In My Bag","Wendy Blaxland","Yes",3,"4Y",
1202,"Go Go Go","Francie Alexander","Yes",4,"4I",
1203,"Watch Out","Andrew plant","Yes",1,"2Y",
1204,"My Sandwich ","Wendy Blaxland","Yes",2,"3F",
1205,"What a Day","Martin Dean","Yes",3,"3G",
1206,"Itchy,Itchy Chicken Pox","Grace Maccarone","Yes",5,"2H",
1207,"I Wish I Had Duck Feet","Theo.Lesieg","Yes",3,"3F",
1208,"Fish Finds a Home","No…..","Yes",5,"2O","Check basket"
1209,"Barlie (barbie.com Ballet Buddies)","Barbara Richards","Missing",1,"2O",
1210,"Ten Apples Up On Top","Theo.Lesieg","Yes",5,"4X",
1211,"The Three Little Pigs","No…..","Yes",2,"3M",
1212,"Picnic Outing","Mark Burgess","Yes",5,"3P",
1213,"Over The River And Through The Wood","No…..","Yes",2,"3W",
1214,"Star Light Star Bright","Susan Hood","Yes",1,"3U",
1215,"Biscuit","Alyssa Satin Capucilli","Yes",1,"2K",
1216,"The Time Song","Rozanne Lanczak Williams","Yes",2,"5Y",
1217,"Put Me In The Zoo","Robert Lopshire","Missing",4,"2S",
1218,"One Fish,Two Fish,Red Fish,Blue Fish","Dr.Seuss","Yes",5,"2S",
1219,"It's Not Easy Being Big","Stephanie St.Pierre","Yes",4,"4S",
1220,"Beady Bear","Don Freeman","Missing",3,"5D",
1221,"The Ocean","Steve Cox","Missing",4,"5F",
1222,"Jason's Bus Ride","Harriet Ziefert","Yes",1,"3O",
1223,"magic school Bus Takes a Moonwalk","Joanna Cole","Yes",2,"3S",
1224,"Happy Birth Day Moon ","Frank Asch","Yes",4,"1R",
1225,"Under The Water","Harriet Ziefert","Yes",2,"2W",
1226,"One,Tow,Three","No…..","Missing",4,"3T",
1227,"The Ear Book","Al Perkins","Missing",4,"2D",
1228,"Where's Sam ?","Lucia Oberstar","Yes",5,"2T",
1229,"Noddy and The Lost Picnic Basket","Lori Froeb","Missing",5,"1W","Damage "
1230,"A - Counting We Will Go","Rozanne Lanczak Williams","Yes",2,"3G",
1231,"Maybe you Should Fly a Jet  (be a Vet)","Theo.Lesieg","Yes",1,"2N",
1232,"Colors","No…..","Yes",3,"1Q",
1233,"Going For The Gold ","Nancy Parent","Yes",1,"2L",
1234,"Cliffor's Kitten","Noraman Bridell","Yes",2,"2Y",
1235,"It's Mine","V.Gilbert Beers","Yes",4,"1F",
1236,"Curious George ","H.A Rey","Yes",3,"1D",
1237,"Fisher-Price Little People","No…..","Yes",2,"3M",
1238,"Good Night,Baby Bear","Frank Asch","Yes",2,"4W",
1239,"Five Little Monkeys Sitting In a Tree","Eileen Christelow","Yes",3,"1T",
1240,"Possum In The House","Kiersten Jensen","Yes",3,"3K",
1241,"Don’t Forget To Come Back","Robie H.Harris","Yes",1,"4C",
1242,"Pat - a - Cake","Michelle Lash -Ruff","Yes",4,"1Y",
1243,"Big Red Barn","Margaret Wise Brown","Yes",2,"2N",
1244,"I Sapy Little Letters","jean Marzollo","Missing",2,"4G",
1245,"Rag","Barney Saltzbery","Yes",5,"3G",
1246,"Shapes Galore","No…..","Yes",3,"3R",
1247,"Touch And Feel Clothes","No…..","Yes",4,"4S",
1248,"Owl Babies","Martin Waddell","Yes",4,"2A",
1249,"Who is Coming To Our House ?","Joseph Slate","Yes",2,"1Q",
1250,"Rusty's Train Ride","Heather Amery","Yes",3,"5H",
1251,"Peekaboo You","No…..","Yes",1,"5A",
1252,"Jack And Beanstalk  ","David Crossley","Yes",5,"3H",
1253,"Animal Singalong","No…..","Yes",4,"3B",
1254,"My first Yellow Picture Book","John Dillow","Yes",3,"1Q",
1255,"Goodnight Moon","Margaret Wise Brown","Yes",3,"5S",
1256,"The Wiggly Worms","Mondy Ross","Yes",5,"1L",
1257,"The Little Red Hen","Stephen Holmes","Yes",1,"4F",
1258,"Read With Me (The Sports Day)","Willam Murray","Yes",2,"2A","Check basket"
1259,"Read With Me ( The Day Trip)","Willam Murray","Yes",4,"4B",
1260,"Chicken Licken","Petula Stone","Yes",1,"2E",
1261,"Jack And The Beanstalk ( Level 3)","Robert Mc Phillips","Yes",3,"2U",
1262,"The Elephant's Nose","No…..","Missing",5,"5C",
1263,"Nondu The Rude Boy","Shyamala.s","Missing",4,"3E",
1264,"In my Car","Shradha Anand","Yes",4,"1Q",
1265,"The Hat","Judith Bauer Stamper","Yes",2,"4B",
1266,"Weather On Earth ","Colin Walker","Yes",2,"5Q",
1267,"Follow Those Feet","ChriStine Ricci","Yes",1,"1H",
1268,"Hooray For Teeth","Gina Shaw","Yes",4,"5O",
1269,"Who Are You,Sue Snue ?","Tish Rabe","Yes",4,"2D",
1270,"Fox In Socks","Dr.Seuss","Yes",4,"1E",
1271,"The Balloon","D.T. Padekar","Missing",1,"5G",
1272,"Sudama","Amar Chitra Katha","Yes",4,"4P",
1273,"Raman Of Tenali","Amar Chitra Katha","Yes",2,"3Z",
1274,"Chandralalat","Amar Chitra Katha","Yes",3,"4F",
1275,"The Adventures Of Agad Datta","Amar Chitra Katha","Yes",1,"1X",
1276,"Once Upon A Time…","Mohanbhai S.Patel","Yes",2,"2J",
1277,"Santa Mouse,Where Are you ?","Michale brown","Yes",5,"4F",
1278,"Big And Little Same And Different","No…..","Yes",5,"3E",
1279,"The Jungle Book","Brimax Classics","Yes",5,"2O","Check basket"
1280,"The Hunter And The Quail","Nazli Gellek","Yes",1,"4E",
1281,"Going To Sleep On The Farm","Wendy Cheyette Lewison","Yes",2,"4R",
1282,"Spiders","Sally Morgan","Yes",1,"5R",
1283,"Heart Of Gold","A Jataka Tale","Yes",1,"5T",
1284,"Winnie The Pooh's Friendly Adventures","No…..","Yes",5,"2I",
1285,"I Wonder Why Stars Twinkle","No…..","Yes",3,"5K",
1286,"Arthur's Pet Business","Marc Brown","Yes",4,"3S",
1287,"Courageous Captain","A Jataka Tale","Yes",4,"4D",
1288,"Sea Monsters Of Long Ago","Millicent E.Selsam","Missing",4,"2C",
1289,"Who's A Pest ?","Crosby Newell Bonsall","Yes",5,"1Y",
1290,"Moosetache","Margie Palatini","Yes",3,"2E",
1291,"The Outside Dog","Charlotte Pomerantz","Yes",5,"5R",
1292,"Tales Of Birbal","Amar Chitra Katha","Yes",3,"3M",
1293,"Big Max","Kin Platt","Yes",3,"5A",
1294,"The Haunted Castle","Stephanie Laslett","Yes",3,"4H",
1295,"Animals In Danger","Anjali Kamath","Yes",1,"3L",
1296,"PAnchatantra( Book 3 )","No…..","Yes",4,"3E",
1297,"Magic School Bus In The Haunted Museum","Joanna Cole","Missing",5,"1G",
1298,"Madelines Rescue","Ludwig Bemelmans","Yes",2,"5C",
1299,"The Holiday Handwriting School ","Rabin Pulver","Yes",3,"1C",
1300,"Jungle Book","Van Gool","Yes",3,"3Y",
1301,"Emily And The Snow Flake","Jan Wahl","Yes",5,"3Y",
1302,"Little Monkey Gets Lost","Kuntie Ramdat Balkaran","Yes",3,"4D",
1303,"Last One Home is a Green Pig","Edith Thacher Hurd","Yes",2,"1Y",
1304,"Valmiki's Ramayana","Amar Chitra Katha","Yes",2,"2F",
1305,"The Giant And The Dwarf","Amar Chitra Katha","Missing",1,"5N",
1306,"MR. Fussy","Roger HArgreaves","Yes",3,"3R",
1307,"My Very First Pinocchio Story Book","Rochelle Larkin","Yes",3,"1Y","Check basket"
1308,"Winnie The Pooh And The Blustery Day","No…..","Yes",5,"1C",
1309,"Winnie The Pooh And The Honey Tree","No…..","Missing",2,"5W",
1310,"Totally Amazing Tales","No…..","Yes",3,"2N","Check basket"
1311,"Amazing Classics ( 3 IN 1)","No…..","Yes",1,"2V",
1312,"Thank You Amelia Bedelia","Peggy Parish","Yes",3,"4L",
1313,"At The Farm","David M.Schwartz","Yes",4,"1O",
1314,"Footprints In The Snow","Cynthia Benjamin","Yes",1,"3D",
1315,"Pal The Pony ","R A Herman ","Yes",2,"4Y",
1316,"Arthur's Reading Race","Marc Brown","Yes",1,"1D",
1317,"Madeline In London","Ludwig Bemelmans","Yes",4,"5R",
1318,"Nate The Great And Monster Mess","Marjorie Weinman Sharmat","Yes",1,"2Y",
1319,"Amelia Bedelia's Family Album","Peggy Parish","Yes",5,"4M",
1320,"India Fact Book For Children","AT & T","Missing",4,"1N",
1321,"Friends And Foes","Amar Chitra Katha","Yes",3,"5O",
1322,"The Tiger And The Woodpecker","Amar Chitra Katha","Yes",4,"1E",
1323,"The Lord Of  Lanka","Amar Chitra Katha","Yes",1,"3J",
1324,"J.A.D. Tata","Amar Chitra Katha","Yes",1,"2M",
1325,"The Pandit And The Milkmaid","Amar Chitra Katha","Yes",1,"2Q",
1326,"Night Is Right For Me","Leslie McGuire","Yes",1,"1N",
1327,"Magic School Bus Sleeps For The Winter","Joanna Cole","Yes",5,"3T",
1328,"Tales Of Oliver Pig","Jean Van Leeuwen","Yes",1,"5P",
1329,"Norma Jean,Jumping Bean","Joanna Cole","Yes",2,"2M",
1330,"Pooh Invents a New Game","Stephen Krensky","Yes",2,"4Z","Check basket"
1331,"Good Work Amelia Bedelia","Peggy Parish","Yes",3,"3T",
1332,"Forg And Toad All year","Arnold Lobel","Yes",1,"1I",
1333,"Kitten Wool","Nicholas Horsburgh","Yes",5,"3J",
1334,"The Tale Of Squirrel Nutkin","Beatrix Potter","Yes",5,"2C",
1335,"Once Upon A Time…( 5)","Mohanbhai S.Patel","Yes",3,"5L",
1336,"Starring First Grade","Miriam Cohen","Yes",5,"3U",
1337,"Goodnight Piggyboo","No…..","Yes",2,"1U",
1338,"Piggyboo's Pancakes","No…..","Missing",5,"5O",
1339,"I Love My Duckling","No…..","Yes",5,"1G",
1340,"Barnyard Dance","Sandra Boynton","Yes",3,"1K",
1341,"Rapunzel ( Leavel 3)","Peter Stevenson","Missing",3,"5B",
1342,"When I Go to The Supermarket","No…..","Yes",5,"5J",
1343,"Numbers","Mick Inkpen","Yes",1,"4X",
1344,"Making A Splash","Nancy Parent","Missing",1,"5C","Damage Swati sch"
1345,"The Foolish Chicken","No…..","Yes",1,"2R",
1346,"The Ugly Duckling","Petula Stone","Yes",3,"1V",
1347,"The Lion And The Cave","Agantuk","Yes",2,"3E","Check basket"
1348,"The Teddy Bear's Daring Rescue","No…..","Yes",4,"1W","Check basket"
1349,"The Teddy Bear's Dancing Lesson","No…..","Yes",3,"3K",
1350,"The Teddy Bear's Birthday Surprise","No…..","Yes",1,"5J",
1351,"The Teddy Bear's Have A Dream","No…..","Yes",2,"5N",
1352,"The Solar System","Carmen Bredeson","Yes",1,"1V",
1353,"Arnold","Mick Inkpen","Yes",4,"2D",
1354,"The Stupid Lion","Kalpish Ratna","Yes",3,"2L",
1355,"New Boots For Bob","Kiki Thorpe","Yes",1,"2K",
1356,"Biscuit Wants to Play","Alyssa Satin Capucilli","Yes",5,"5H",
1357,"Bears In The Night","Stan & Jan Berenstain","Yes",3,"3T",
1358,"Five Little Goblins","Lark Carrier","Yes",1,"4G",
1359,"The Spooky Old tree","Stan & Jan Berenstain","Yes",1,"4P",
1360,"Bears At Work","Gaga Taylor","Yes",5,"2B",
1361,"If The Dinosaurs Came Back ","Bernard Most","Yes",2,"2K",
1362,"Surprise Party","Sharon Gordon","Yes",3,"5R",
1363,"Just A Little Critter Collection","Mercer mayer","Yes",5,"3Z",
1364,"First Numbers","No…..","Yes",1,"3D",
1365,"Funny Faces","Moira Butterfield","Yes",3,"2M",
1366,"Barney's Alphabt Fun","Guy Davis","Yes",2,"3F",
1367,"Picnic","Mick Inkpen","Yes",5,"1R","Title mismatch"
1368,"Across The Stream","Mirra Ginsburg","Yes",5,"1I",
1369,"Noddy And The Magic Watch","Enid Blyton","Yes",2,"5K",
1370,"I Want a pet","BArbara Gregorich","Yes",4,"4E",
1371,"Aesop's Fables","No…..","Missing",2,"5Q",
1372,"Splosh","Mick Inkpen","Yes",5,"3H",
1373,"The Brave Little Bird","Scott Beck","Yes",4,"2D",
1374,"The Big Wide mouthed Frog","Ana Martin Larranaga","Yes",3,"3B",
1375,"Five Little Monkeys With Nothing To Do","Eileen Christelow","Yes",5,"4X",
1376,"Hap And Cap","Margaret Allen","Missing",4,"1A",
1377,"Five Little Monkeys Jumping On The Bed","Eileen Christelow","Yes",5,"2Y",
1378,"Curious George ","H.A Rey","Yes",1,"4Y",
1379,"Arthur's T V Trouble","Marc Brown","Yes",3,"5G",
1380,"Shoveling Snow","Pat Cummings","Yes",3,"1I",
1381,"Dinosaur Roar","Paul & Henrietta Stickland","Yes",1,"4N",
1382,"max's Pet","Nancy Leber And Amy Levin","Yes",5,"3U",
1383,"Bath Time For Piggyboo","Ccatherine Solyom","Yes",4,"1O",
1384,"What's Next ?","Sarah Willson","Missing",5,"1Z",
1385,"MR.Sneeze","Rager Hargreaves","Yes",2,"5X",
1386,"Ladybug","kathleen Weidner Zoehfeld","Missing",5,"1U","Damage Sawti sch"
1387,"Mealtime","Nancy Parent","Missing",5,"3R",
1388,"Jumbo Elephant Plane","William O'brien","Yes",5,"1X",
1389,"Three Little Pigs","stephen Cartwright","Yes",5,"4R",
1390,"Woolly Stops The Train","Heather Amery & Stephen cartwright","Missing",5,"5N",
1391,"Cheeko And The School Bag","Deepa Agarwal","Missing",4,"3A",
1392,"Kaaga & The Coconut","Shyamala.s","Yes",1,"3X",
1393,"Goldiocks And The Three Bears","Chris Russell","Yes",3,"5G",
1394,"Living Near a River","Allan Fowler","Yes",4,"5X",
1395,"Hansel And Gretel","Piter Stevenson","Missing",1,"3W",
